date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:46	98024/98024	---M--	200	added ('OK')	application/x-font-woff	date:Mon,%2023%20Jan%202017%2018:52:45%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/fonts/fontawesome-webfont.woff?v=4.5.0	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/fonts/fontawesome-webfont3295.woff	(from http://wordpressboss.com/wb/smoth-demo/assets/fonts/font-awesome.css)
12:32:51	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2023%20Jan%202017%2018:52:43%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/fonts/fontawesome-webfont.svg?v=4.5.0	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/fonts/fontawesome-webfont3295.svg	(from http://wordpressboss.com/wb/smoth-demo/assets/fonts/font-awesome.css)
12:32:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jan%202017%2007:02:52%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/grabbing.png	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/grabbing.3b.delayed	(from http://wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/owl.carousel.css)
12:32:53	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2023%20Jan%202017%2018:52:41%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/fonts/fontawesome-webfont.eot?v=4.5.0	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/fonts/fontawesome-webfont3295.eot	(from http://wordpressboss.com/wb/smoth-demo/assets/fonts/font-awesome.css)
12:32:55	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2023%20Jan%202017%2018:52:41%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/fonts/fontawesome-webfont.eot?	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/fonts/fontawesome-webfontd41d.eot	(from http://wordpressboss.com/wb/smoth-demo/assets/fonts/font-awesome.css)
12:32:57	71324/71324	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Jan%202017%2007:02:53%20GMT	http://www.wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/grabbing.png	D:/download-template/bootstrap-1/bootstrap%20template/www.wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/grabbing.3c.delayed	(from http://wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/owl.carousel.css)
12:32:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jan%202017%2007:02:58%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/AjaxLoader.gif	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/AjaxLoader.3d.delayed	(from http://wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/owl.theme.css)
12:33:03	71328/71328	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Jan%202017%2007:02:59%20GMT	http://www.wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/AjaxLoader.gif	D:/download-template/bootstrap-1/bootstrap%20template/www.wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/AjaxLoader.3e.delayed	(from http://wordpressboss.com/wb/smoth-demo/assets/owlcarousel/css/owl.theme.css)
12:33:04	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2023%20Jan%202017%2018:52:43%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/fonts/fontawesome-webfont.ttf?v=4.5.0	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/fonts/fontawesome-webfont3295.ttf	(from http://wordpressboss.com/wb/smoth-demo/assets/fonts/font-awesome.css)
12:33:06	42892/42892	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202017%2018:53:53%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/bg/mainbg.jpg	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/bg/mainbg.jpg	(from http://wordpressboss.com/wb/smoth-demo/assets/css/style.css)
12:33:22	81843/81843	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202017%2018:53:53%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/bg/call.jpg	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/bg/call.jpg	(from http://wordpressboss.com/wb/smoth-demo/assets/css/style.css)
12:33:24	40658/40658	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Jan%202017%2017:58:14%20GMT	http://wordpressboss.com/wb/smoth-demo/index-image.html	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/index-image.html	(from http://wordpressboss.com/wb/smoth-demo/index.html)
12:33:26	112685/112685	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202017%2018:53:00%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/demo2.png	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/demo2.png	(from http://wordpressboss.com/wb/smoth-demo/index.html)
12:33:27	139394/139394	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202017%2018:53:56%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/bg/slider1.jpg	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/bg/slider1.jpg	(from http://wordpressboss.com/wb/smoth-demo/assets/css/style.css)
12:33:31	57531/57531	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202017%2018:52:58%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/demo1.png	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/demo1.png	(from http://wordpressboss.com/wb/smoth-demo/index.html)
12:33:31	217521/217521	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202017%2018:53:56%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/bg/testi-bg.jpeg	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/bg/testi-bg.jpg	(from http://wordpressboss.com/wb/smoth-demo/assets/css/style.css)
12:33:50	40857/40857	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Jan%202017%2017:58:18%20GMT	http://wordpressboss.com/wb/smoth-demo/index-youtube.html	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/index-youtube.html	(from http://wordpressboss.com/wb/smoth-demo/index.html)
12:33:52	20157/20157	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202017%2018:54:10%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/testimonial/3.jpg	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/testimonial/3.jpg	(from http://wordpressboss.com/wb/smoth-demo/index-slider.html)
12:33:55	55620/55620	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2023%20Jan%202017%2018:52:52%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/fonts/Linearicons-Free.ttf?w118d	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/fonts/Linearicons-Free54e9.ttf	(from http://wordpressboss.com/wb/smoth-demo/assets/fonts/linear-fonts.css)
12:33:58	159595/159595	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202017%2018:53:01%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/images/demo3.png	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/images/demo3.png	(from http://wordpressboss.com/wb/smoth-demo/index.html)
